bias_len,bias_mult,entry_type,entry_len,entry_mult,n,hit,pnl,total
200,2,ema,14,2,8203,69.75496769474583,0.08970776012274617,735.8727562868869
200,2,ema,14,3,5127,70.06046420908913,0.14488595601801518,742.8302965043639
200,2,ema,14,4,3462,71.31715771230502,0.13991356529159452,484.3807630395002
200,2,ema,21,2,6267,69.98563906175204,0.09251222496355753,579.774113846615
200,2,ema,21,3,4062,70.45790251107829,0.09065264135693195,368.2310291918576
200,2,ema,21,4,2686,71.33283693224125,-0.055469433514782236,-148.9908984207051
200,2,ema,34,2,4415,70.03397508493772,0.14765371934051336,651.8911708883664
200,2,ema,34,3,2823,71.80304640453419,0.08235968395679498,232.5013878100322
200,2,ema,34,4,1862,74.06015037593986,-0.10846656860909804,-201.96475075014055
200,2,ema,55,2,2804,71.7546362339515,0.07042857515632116,197.48172473832452
200,2,ema,55,3,1742,73.93800229621125,-0.17950953272365355,-312.7056060046045
200,2,ema,55,4,1061,74.83506126295947,-0.34082625532402344,-361.61665689878885
200,2,vidya,14,2,3172,71.62673392181588,0.07191894929622353,228.12690716762103
200,2,vidya,14,3,1963,72.94956698930208,0.021147822892174983,41.513176337339495
200,2,vidya,14,4,1250,74.64,-0.26215259785330114,-327.6907473166264
200,2,vidya,21,2,1530,73.0718954248366,-0.249772345781446,-382.1516890456124
200,2,vidya,21,3,852,75.0,-0.6176527048222161,-526.2401045085281
200,2,vidya,21,4,734,73.84196185286103,0.034120348019965885,25.04433544665496
200,2,vidya,34,2,923,71.397616468039,0.2768299403473897,255.5140349406407
200,2,vidya,34,3,1848,71.48268398268398,0.2049621556830031,378.77006370218976
200,2,vidya,34,4,2258,73.25066430469442,0.2998802420692305,677.1295865923224
200,2,vidya,55,2,2306,73.93755420641804,0.33805626654691,779.5577506571744
200,2,vidya,55,3,2118,74.69310670443815,0.26238134899236926,555.7236971658381
200,2,vidya,55,4,1847,74.76989713048187,0.26218162049814747,484.2494530600784
200,3,ema,14,2,8526,71.19399483931504,0.12059273668047767,1028.1736729377526
200,3,ema,14,3,5445,71.38659320477502,0.17060876119853433,928.9647047260195
200,3,ema,14,4,3781,71.56836815657233,0.16741531921231048,632.9973219417459
200,3,ema,21,2,6573,71.58070896090065,0.14983713641894006,984.879497681693
200,3,ema,21,3,4377,71.51016678090016,0.1480032074809313,647.8100391440363
200,3,ema,21,4,3000,71.43333333333334,0.02053232412307015,61.59697236921045
200,3,ema,34,2,4722,71.24099957645066,0.1825016243301607,861.7726700870188
200,3,ema,34,3,3131,71.92590226764612,0.16278761909438852,509.68803538453045
200,3,ema,34,4,2161,74.17862100879222,-0.007191113850684257,-15.53999703132868
200,3,ema,55,2,3111,72.03471552555449,0.17145150007454496,533.3856167319094
200,3,ema,55,3,2048,73.828125,-0.12729599692282584,-260.7022016979473
200,3,ema,55,4,1356,75.14749262536873,-0.2759923371294042,-374.24560914747207
200,3,vidya,14,2,3498,71.81246426529445,0.11671584827107952,408.27203725223615
200,3,vidya,14,3,2276,72.75922671353251,-0.013478496279727447,-30.67705753265967
200,3,vidya,14,4,1543,75.43745949449125,-0.28458360191627313,-439.11249775680943
200,3,vidya,21,2,1836,73.63834422657952,-0.2370560301668332,-435.2348713863057
200,3,vidya,21,3,1112,75.89928057553958,-0.506408826767937,-563.1266153659459
200,3,vidya,21,4,653,77.33537519142419,-0.22706848344854075,-148.2757196918971
200,3,vidya,34,2,536,72.94776119402985,-0.6879092492282511,-368.7193575863426
200,3,vidya,34,3,764,72.38219895287958,0.7127809526541625,544.5646478277802
200,3,vidya,34,4,1366,73.42606149341142,0.5348488314169092,730.6035037154979
200,3,vidya,55,2,1629,75.4450583179865,0.34485372374709466,561.7667159840172
200,3,vidya,55,3,1912,75.83682008368201,0.25777784379504454,492.8712373361252
200,3,vidya,55,4,1801,76.12437534702943,0.19627784535676837,353.49639948753986
