t,S,pnl_pct,hold,flips,bias_len,bias_left,atr_pct,win
1721155500000,1,0.22513574361011646,628,5,966,628,0.7604994615552713,True
1721407500000,1,-2.2222222222222254,348,3,966,348,0.9217444721064666,False
1721599200000,1,-10.60713442003307,135,1,966,135,1.0787422757274197,False
1721856600000,-1,-5.711033743974281,213,1,364,213,0.7799284241154093,False
1723047300000,-1,-8.231125647315341,116,1,866,116,1.1672895187288899,False
1723367700000,1,-7.09365261604068,38,1,278,38,0.49926412984563284,False
1724030100000,-1,-8.907547686410533,114,1,418,114,0.6542835504594158,False
1724208300000,1,15.370100351659666,1029,9,1113,1029,0.5541374137295183,True
1724616000000,1,-10.778721146192627,576,7,1113,576,0.8233911857562778,False
1724733000000,1,-9.633859590191463,446,5,1113,446,0.8932009286940191,False
1724844600000,1,-6.9070523911689445,322,3,1113,322,1.2168084537529391,False
1725066000000,1,-9.960506057969077,76,1,1113,76,1.3382514772662624,False
1725507900000,-1,-6.294706723891275,443,1,858,443,0.6441014883854161,False
1726244100000,1,-4.110641567422213,270,3,645,270,0.9415031846237343,False
1726349400000,1,-5.217589428115743,153,1,645,153,0.4487763846145994,False
1726704900000,1,15.338573591980964,1217,7,1359,1217,0.823673560055292,True
1726927200000,1,-0.08745627186407257,970,5,1359,970,0.6477110759479426,False
1727339400000,1,-11.89820425250634,512,3,1359,512,0.791598531279914,False
1727629200000,1,-12.366445674209636,190,1,1359,190,0.8356579822396338,False
1728149400000,-1,-3.3156063291970517,661,3,1049,661,0.5997424899077457,False
1728300600000,-1,-5.50452564532351,493,1,1049,493,0.9194538772431389,False
1728880200000,1,-4.942254338989615,345,1,496,345,0.9848675679724547,False
1729405800000,1,-5.865355056870591,200,1,305,200,0.819952440932634,False
1729826100000,-1,18.234363173467294,1182,5,1449,1182,0.44177494639369264,True
1730288700000,-1,13.085137507314226,668,3,1449,668,0.5350023772350594,True
1730739600000,-1,-14.051252519435643,167,1,1449,167,0.8974138516354622,False
1731131100000,1,-5.486880931493743,531,1,799,531,0.9860663511364773,False
1731918600000,1,40.435906908016264,2017,9,2200,2017,0.7772014640911258,True
1732197600000,1,37.15275272386176,1707,7,2200,1707,1.4738076289386022,True
1732508100000,1,9.06587101216434,1362,5,2200,1362,1.3912761037391623,True
1732734900000,1,8.25834377491741,1110,3,2200,1110,0.7597895992798571,True
1733186700000,1,-8.575826078591698,608,1,2200,608,1.2106325434836982,False
1734345000000,-1,16.61007357102433,818,5,977,818,0.7670171672090128,True
1734416100000,-1,16.19269707655556,739,3,977,739,0.7229674564384758,True
1734789600000,-1,-4.548034624662978,324,1,977,324,1.3959948947142433,False
1735483500000,-1,-1.119861281699297,374,5,685,374,0.6399468569182761,False
1735569900000,-1,-5.701986254814573,278,3,685,278,0.9628729363490806,False
1735687800000,-1,-5.773881499395417,147,1,685,147,0.6326098951621925,False
1735906500000,1,-6.04942568743475,402,3,498,402,0.7257807774099732,False
1736145000000,1,-8.520300955737826,137,1,498,137,0.6383671328480389,False
1736718300000,-1,-9.657601572739182,269,3,769,269,0.4454590332437604,False
1736945100000,-1,-14.693283070596298,17,1,769,17,0.6451631692036396,False
1737254700000,1,-7.710037174721185,42,1,369,42,1.0058343413422666,False
1737438300000,-1,27.477595057861304,1831,15,1993,1831,1.099835636637744,True
1737569700000,-1,30.221850146504803,1685,13,1993,1685,0.7868642632203162,True
1737760500000,-1,29.74544841537423,1473,11,1993,1473,0.6493858390399867,True
1737936000000,-1,29.845972561232216,1278,9,1993,1278,0.840902477694964,True
