symbol,state,tEntry
DOGEUSDT,2,2021-08-09T10:45
DOGEUSDT,2,2021-09-17T04:15
DOGEUSDT,0,2021-10-04T13:45
DOGEUSDT,2,2021-10-15T19:00
DOGEUSDT,1,2021-11-20T15:45
DOGEUSDT,2,2021-12-03T16:00
DOGEUSDT,0,2021-12-05T15:15
DOGEUSDT,2,2022-01-20T21:45
DOGEUSDT,1,2022-02-21T11:45
DOGEUSDT,1,2022-03-18T17:15
DOGEUSDT,2,2022-05-10T21:45
DOGEUSDT,2,2022-07-16T16:00
DOGEUSDT,0,2022-07-25T01:15
DOGEUSDT,2,2022-07-30T09:00
DOGEUSDT,1,2022-08-30T14:45
DOGEUSDT,1,2022-09-27T17:15
DOGEUSDT,0,2022-10-10T08:30
DOGEUSDT,0,2022-10-28T09:30
DOGEUSDT,2,2022-11-20T11:30
DOGEUSDT,0,2022-11-27T05:15
DOGEUSDT,0,2022-11-29T02:30
DOGEUSDT,0,2023-01-04T03:00
DOGEUSDT,0,2023-02-08T16:15
DOGEUSDT,2,2023-03-23T09:45
DOGEUSDT,2,2023-04-20T16:00
DOGEUSDT,2,2023-07-01T01:00
DOGEUSDT,0,2023-07-06T13:45
DOGEUSDT,2,2023-07-15T07:15
DOGEUSDT,2,2023-07-24T07:30
DOGEUSDT,1,2023-10-01T22:45
DOGEUSDT,2,2023-11-27T00:30
DOGEUSDT,1,2023-11-28T14:45
DOGEUSDT,0,2024-01-29T10:45
DOGEUSDT,0,2024-02-14T08:45
DOGEUSDT,1,2024-02-26T16:15
DOGEUSDT,0,2024-03-11T08:15
DOGEUSDT,0,2024-03-23T02:00
DOGEUSDT,1,2024-04-28T23:15
DOGEUSDT,1,2024-05-10T15:00
DOGEUSDT,2,2024-05-27T14:15
DOGEUSDT,0,2024-06-17T07:00
DOGEUSDT,0,2024-07-29T02:45
DOGEUSDT,2,2024-09-28T15:00
DOGEUSDT,0,2024-12-16T11:45
DOGEUSDT,2,2025-02-04T06:15
DOGEUSDT,1,2025-02-21T18:00
DOGEUSDT,1,2025-03-18T01:45
DOGEUSDT,0,2025-04-22T07:30
DOGEUSDT,1,2025-06-15T08:15
DOGEUSDT,2,2025-06-17T00:00
DOGEUSDT,0,2025-08-24T18:45
DOGEUSDT,0,2025-09-01T00:00
DOGEUSDT,1,2025-09-29T20:45
DOGEUSDT,2,2025-10-01T08:30
DOGEUSDT,1,2025-10-05T03:15
DOGEUSDT,0,2025-10-09T02:45
DOGEUSDT,0,2025-10-10T16:00
DOGEUSDT,0,2025-10-21T15:15
DOGEUSDT,1,2025-10-26T09:45
DOGEUSDT,0,2025-11-12T16:30
DOGEUSDT,2,2025-11-13T17:30
DOGEUSDT,0,2025-11-20T17:15
DOGEUSDT,0,2025-12-09T15:45
DOGEUSDT,2,2025-12-12T15:45
DOGEUSDT,0,2026-02-03T18:45
DOGEUSDT,0,2026-03-02T15:30
DOGEUSDT,0,2026-03-12T11:30
DOGEUSDT,0,2026-05-10T17:15
DOGEUSDT,1,2026-06-14T22:00
DOGEUSDT,0,2026-06-25T12:15
ADAUSDT,2,2020-12-16T14:00
ADAUSDT,2,2021-01-16T10:00
ADAUSDT,2,2021-02-05T01:15
ADAUSDT,2,2021-04-02T07:30
ADAUSDT,2,2021-05-09T06:45
ADAUSDT,1,2021-05-21T14:30
ADAUSDT,2,2021-06-05T11:45
ADAUSDT,2,2021-06-21T04:00
ADAUSDT,2,2021-06-30T19:45
ADAUSDT,0,2021-07-23T23:30
ADAUSDT,2,2021-07-26T00:45
ADAUSDT,2,2021-12-02T11:45
ADAUSDT,1,2022-01-14T07:15
ADAUSDT,1,2022-01-20T22:00
ADAUSDT,2,2022-02-07T02:30
ADAUSDT,1,2022-03-18T16:45
ADAUSDT,2,2022-04-10T23:45
ADAUSDT,2,2022-05-10T21:45
ADAUSDT,2,2022-06-03T11:00
ADAUSDT,0,2022-09-27T17:00
ADAUSDT,2,2022-10-10T08:15
ADAUSDT,2,2022-10-14T16:00
ADAUSDT,1,2023-02-01T21:15
ADAUSDT,2,2023-03-21T13:15
ADAUSDT,1,2023-05-17T01:45
ADAUSDT,2,2023-07-13T15:30
ADAUSDT,2,2023-07-24T09:45
ADAUSDT,0,2023-08-02T14:45
ADAUSDT,2,2023-08-29T14:30
ADAUSDT,2,2023-11-14T18:45
ADAUSDT,1,2023-12-13T13:45
ADAUSDT,2,2024-01-10T21:15
ADAUSDT,1,2024-01-29T16:45
ADAUSDT,1,2024-02-17T21:30
ADAUSDT,1,2024-04-08T08:15
ADAUSDT,0,2024-04-12T12:45
ADAUSDT,1,2024-04-19T02:00
ADAUSDT,1,2024-04-28T23:30
ADAUSDT,1,2024-05-03T14:00
ADAUSDT,1,2024-07-21T22:45
ADAUSDT,2,2024-07-29T02:45
ADAUSDT,0,2024-08-29T19:00
ADAUSDT,2,2024-12-01T21:00
ADAUSDT,2,2025-01-26T23:00
ADAUSDT,0,2025-04-04T11:30
ADAUSDT,2,2025-04-24T15:00
ADAUSDT,2,2025-05-03T14:30
ADAUSDT,2,2025-05-18T19:45
ADAUSDT,2,2025-08-24T18:45
ADAUSDT,0,2025-09-30T21:15
ADAUSDT,0,2025-10-09T02:45
ADAUSDT,1,2025-11-12T16:30
ADAUSDT,2,2025-11-13T17:30
ADAUSDT,2,2025-11-20T16:30
ADAUSDT,1,2025-11-26T18:15
ADAUSDT,2,2025-12-01T00:15
ADAUSDT,1,2025-12-25T23:30
ADAUSDT,1,2026-03-02T15:30
ADAUSDT,1,2026-04-29T15:00
ADAUSDT,1,2026-05-22T19:00
ADAUSDT,2,2026-06-25T13:45
ADAUSDT,2,2026-07-12T00:00
ADAUSDT,1,2026-07-27T14:45
ADAUSDT,2,2026-08-03T13:45
LINKUSDT,0,2020-12-16T14:00
LINKUSDT,2,2021-02-19T09:45
LINKUSDT,0,2021-03-24T19:30
LINKUSDT,0,2021-05-19T04:00
LINKUSDT,0,2021-05-21T14:30
LINKUSDT,2,2021-07-06T04:30
LINKUSDT,2,2021-07-23T23:00
LINKUSDT,0,2021-07-26T00:30
LINKUSDT,0,2021-07-30T01:00
LINKUSDT,0,2021-07-30T16:15
LINKUSDT,2,2021-12-03T17:15
LINKUSDT,2,2021-12-26T10:30
LINKUSDT,2,2022-01-06T19:30
LINKUSDT,0,2022-01-20T21:45
LINKUSDT,1,2022-02-21T11:45
LINKUSDT,2,2022-02-28T15:45
LINKUSDT,0,2022-03-07T19:30
LINKUSDT,2,2022-03-21T08:15
LINKUSDT,2,2022-04-26T14:15
LINKUSDT,0,2022-07-11T23:00
LINKUSDT,0,2022-07-22T19:30
LINKUSDT,2,2022-07-25T02:15
LINKUSDT,2,2022-08-03T23:30
LINKUSDT,0,2022-08-10T13:15
LINKUSDT,1,2022-10-10T08:45
LINKUSDT,1,2022-10-11T00:15
LINKUSDT,2,2022-10-23T19:45
