symbol,S,time,pnl,exitType,fastCycleLen,entryVsZone,pullDepth
DOGEUSDT,-1,1697035500,1.9,TP,1,4.53,-1.62
DOGEUSDT,1,1698251400,1.9,TP,4,9.39,0.05
DOGEUSDT,1,1701182700,1.9,TP,1,3.05,-2.98
DOGEUSDT,1,1701653400,1.9,TP,1,6.02,-2.16
DOGEUSDT,1,1702030500,1.9,TP,2,1.4,-0.66
DOGEUSDT,-1,1702855800,1.9,TP,1,0.22,-2.43
DOGEUSDT,1,1703420100,-2.1,SL,3,0.76,-0.01
DOGEUSDT,-1,1705501800,1.9,TP,4,1.71,-0.26
DOGEUSDT,-1,1706974200,-0.86,TIMEOUT,3,0.26,0
DOGEUSDT,1,1707622200,1.9,TP,1,2.03,-3.01
DOGEUSDT,1,1708964100,1.9,TP,1,3.09,-2.99
DOGEUSDT,1,1709309700,1.9,TP,1,17.4,-1.16
DOGEUSDT,-1,1710382500,-2.1,SL,4,3.94,-0.06
DOGEUSDT,1,1713898800,1.9,TP,2,0.27,0.13
DOGEUSDT,-1,1715353200,1.9,TP,1,4.4,-3.7
DOGEUSDT,1,1715775300,1.9,TP,2,0.1,0.08
DOGEUSDT,1,1715943600,1.9,TP,4,1.64,0.07
DOGEUSDT,-1,1718843400,-2.1,SL,2,5.12,-0.27
DOGEUSDT,-1,1718983800,-2.1,SL,2,3.91,-1.1
DOGEUSDT,1,1719499500,1.9,TP,3,0.09,-0.14
DOGEUSDT,-1,1721855700,1.9,TP,1,1.9,-2.04
DOGEUSDT,1,1722221100,-2.1,SL,1,4.13,-4
DOGEUSDT,-1,1725625800,1.9,TP,2,2.07,-0.14
DOGEUSDT,1,1727535600,-2.1,SL,1,5.55,-4.19
DOGEUSDT,1,1728893700,1.9,TP,2,8.1,-0.73
DOGEUSDT,1,1729062000,1.9,TP,2,3,0
DOGEUSDT,1,1729200600,1.9,TP,1,8.17,-1.53
DOGEUSDT,-1,1729853100,1.9,TP,4,6.92,-0.11
DOGEUSDT,-1,1730556900,1.9,TP,3,-0.71,-0.52
DOGEUSDT,-1,1734069600,1.9,TP,3,1.37,0.42
DOGEUSDT,1,1736181900,1.9,TP,2,23.02,-0.42
DOGEUSDT,-1,1737545400,1.9,TP,3,7.43,0.41
DOGEUSDT,-1,1737927000,1.9,TP,1,2.95,-2.26
DOGEUSDT,-1,1738098000,1.9,TP,3,10.82,-1.05
DOGEUSDT,-1,1738303200,-2.1,SL,2,4.46,0.06
DOGEUSDT,-1,1738391400,1.9,TP,1,5.61,-1.26
DOGEUSDT,-1,1739132100,1.9,TP,4,1.71,0.19
DOGEUSDT,-1,1740160800,1.9,TP,1,3.3,-2.73
DOGEUSDT,-1,1740331800,1.9,TP,4,4.28,-0.26
DOGEUSDT,-1,1740708000,1.9,TP,1,5.17,-2.99
DOGEUSDT,-1,1742262300,1.9,TP,1,5.06,-3.93
DOGEUSDT,-1,1744134300,1.9,TP,1,2.72,-1.8
DOGEUSDT,-1,1748421900,1.9,TP,4,0.75,-0.25
DOGEUSDT,-1,1749975300,1.9,TP,1,4.78,-2.57
DOGEUSDT,-1,1750434300,1.9,TP,1,2.36,-2.77
DOGEUSDT,-1,1755278100,-2.1,SL,2,5.34,-0.25
DOGEUSDT,1,1756063800,-2.1,SL,4,-3.23,0.12
DOGEUSDT,-1,1756684800,1.9,TP,1,0.58,-3.28
DOGEUSDT,1,1757216700,1.9,TP,3,6.93,-0.03
DOGEUSDT,-1,1758767400,1.9,TP,3,3.02,-0.55
DOGEUSDT,1,1759307400,1.9,TP,1,5.34,-4.79
DOGEUSDT,1,1759634100,1.9,TP,1,3.3,-3.43
DOGEUSDT,-1,1760112000,1.9,TP,1,5.96,-3.71
DOGEUSDT,1,1761471900,1.9,TP,1,3.25,-3.23
DOGEUSDT,-1,1763055000,1.9,TP,1,8.47,-3.52
DOGEUSDT,-1,1763303400,1.9,TP,3,2.3,0.03
DOGEUSDT,-1,1763401500,1.9,TP,1,2.37,-1.67
DOGEUSDT,1,1765295100,1.9,TP,1,3.17,-3.63
DOGEUSDT,1,1766368800,1.9,TP,4,0.01,1.23
DOGEUSDT,-1,1768212000,-2.1,SL,1,1.89,-1.67
DOGEUSDT,-1,1768711500,1.9,TP,4,4.27,0.05
DOGEUSDT,-1,1768893300,1.9,TP,1,17.5,-0.9
DOGEUSDT,-1,1770146100,-2.1,SL,3,-0.91,0.23
DOGEUSDT,-1,1770712200,1.9,TP,1,5.93,-1.09
DOGEUSDT,-1,1771443000,1.9,TP,1,2.27,-1.69
DOGEUSDT,-1,1771720200,1.9,TP,1,2.6,-3.22
DOGEUSDT,1,1775002500,1.9,TP,4,3.44,-0.35
DOGEUSDT,-1,1775363400,-1.243,TIMEOUT,1,3.76,-2.59
DOGEUSDT,1,1775592900,1.9,TP,1,0.83,-2.04
DOGEUSDT,-1,1779060600,1.9,TP,1,1.46,-3.14
DOGEUSDT,-1,1780065900,-2.1,SL,3,5.65,0.23
DOGEUSDT,1,1781349300,-1.648,TIMEOUT,1,3.47,-2.6
DOGEUSDT,-1,1782156600,1.9,TP,1,1.69,-2.08
DOGEUSDT,-1,1782390600,1.9,TP,2,2.67,-1.06
DOGEUSDT,-1,1785389400,1.9,TP,3,9.37,-0.1
ADAUSDT,1,1608127200,-2.1,SL,1,4.83,-6.2
ADAUSDT,1,1609087500,-2.1,SL,3,4.12,-0.65
ADAUSDT,1,1610791200,-2.1,SL,1,3.85,-3.86
ADAUSDT,1,1611191700,-2.1,SL,4,10.9,0.05
ADAUSDT,1,1611547200,-2.1,SL,3,11.05,-1.01
ADAUSDT,1,1612205100,1.9,TP,1,4.46,-1.81
ADAUSDT,1,1612487700,1.9,TP,1,3.86,-2.86
ADAUSDT,1,1614355200,1.9,TP,1,11.91,-2.67
ADAUSDT,-1,1615230900,-2.1,SL,3,13.28,-0.47
ADAUSDT,-1,1616618700,1.9,TP,2,2.78,-0.91
ADAUSDT,1,1619656200,-2.1,SL,3,17.57,-0.05
ADAUSDT,1,1619769600,-2.1,SL,3,3.39,-0.25
ADAUSDT,1,1620752400,1.9,TP,2,3.94,-0.1
ADAUSDT,-1,1621607400,-2.1,SL,1,0.09,-1.75
ADAUSDT,-1,1623090600,1.9,TP,1,3.83,-2.14
ADAUSDT,1,1625667300,-2.028,TIMEOUT,2,0.7,0.49
ADAUSDT,-1,1625950800,-2.1,SL,4,5.04,0.2
ADAUSDT,-1,1626093900,1.9,TP,1,2.9,-1.48
ADAUSDT,1,1627083000,1.9,TP,1,1.38,-3.17
ADAUSDT,1,1627260300,1.9,TP,1,8.98,-4.73
ADAUSDT,1,1628816400,1.9,TP,1,0.26,-2.38
ADAUSDT,1,1629070200,-2.1,SL,3,1.61,-0.02
ADAUSDT,1,1629611100,1.9,TP,1,18.52,-0.93
ADAUSDT,-1,1631277900,1.9,TP,4,2.02,-0.89
ADAUSDT,-1,1637896500,1.9,TP,1,2.39,-1.66
ADAUSDT,1,1640471400,-2.1,SL,2,3.97,0.26
ADAUSDT,-1,1642716000,1.9,TP,1,2.52,-3.42
ADAUSDT,1,1643446800,-2.1,SL,4,1.97,-0.34
ADAUSDT,1,1646059500,1.9,TP,1,3.78,-2.53
ADAUSDT,1,1647621900,1.9,TP,1,5.29,-2.85
ADAUSDT,1,1647870300,1.9,TP,2,-1.2,-0.02
ADAUSDT,-1,1648953000,-2.1,SL,3,1.37,-0.47
ADAUSDT,-1,1649596500,-2.1,SL,3,0.39,-0.52
ADAUSDT,-1,1649634300,1.9,TP,1,1.09,-3.13
ADAUSDT,-1,1649943900,1.9,TP,1,16.59,-2.65
ADAUSDT,-1,1650229200,1.9,TP,1,2.84,-1.56
ADAUSDT,-1,1651517100,-2.1,SL,4,2.95,-0.45
ADAUSDT,-1,1653543000,1.9,TP,1,1.37,-2.2
ADAUSDT,-1,1654254000,1.9,TP,1,3.28,-3.38
ADAUSDT,1,1654614900,1.9,TP,1,4.55,-1.92
